#,Question,Response One,buysExpensiveThings,buysInexpensiveThings,interestedInFashion,interestedInTechnology,earlyAdopter,lateAdopter,perceivedAsTeenager,perceivedAsYoungAdult,perceivedAsAdult,Response Two,buysExpensiveThings,buysInexpensiveThings,interestedInFashion,interestedInTechnology,earlyAdopter,lateAdopter,perceivedAsTeenager,perceivedAsYoungAdult,perceivedAsAdult,Response Three,buysExpensiveThings,buysInexpensiveThings,interestedInFashion,interestedInTechnology,earlyAdopter,lateAdopter,perceivedAsTeenager,perceivedAsYoungAdult,perceivedAsAdult,Response Four (Skip Question),Details
1,After a first time meeting with a person. Do you tend to remember his face or his clothes?,Face,0,0,0,0,0,0,0,0,0,Clothes,0,0,1,0,0,0,0,0,0,Neither,0,0,-1,0,0,0,0,0,0,Skip Question,"If one choose clothes, he may cares more about the appearance of a product, rather than the usability or configuation."
2,Are you a certified scuba diver?,Yes,0,0,0,0,0,0,-1,1,1,No,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,"Sporty/Outdoorsy if Yes, else No"
3,Are you an early adopter of technology?,Yes,1,-1,0,1,1,-1,0,0,0,No,-1,0,0,-1,-1,1,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,"Will try new things, likes familiar things"
4,Do you believe that everybody likes Oreos,Yes,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,Follower
5,Do you drink Starbucks regularly?,Yes,1,-1,0,0,0,0,0,0,0,No,-1,1,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,"If yes, more likely to spend money"
6,Do you enjoy travelling?,Yes,1,-1,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,"If yes, probably more adventurous "
7,Do you feel threated by commitment,Yes,0,0,0,0,0,0,1,1,0,No,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,Follower vs Independent
8,Do you find that extensive use of white in a room is more,"Refreshing, clean, and modern",0,0,0,0,0,0,0,0,0,"Stark, plain, and uninspiried",0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,
9,Do you have a security system in your apartment or home?,Yes,0,0,0,0,0,0,-1,1,1,No,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,
10,"Do you hold a graduate degree (eg JD, MBA, MS, etc.)",Yes,0,0,0,0,0,0,-1,-1,1,No,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,"If yes, educated and probably has a higher salary"
